query_phrase,source_domain,url,title,description,date,show,click
test,super.domain.com,http://super.domain.com/test,"Test on super.domain.com","Description of the Test on super.domain.com",2012-11-12,3,
test,super.domain.com,http://super.domain.com/test2,"Test Second on super.domain.com","Description of the Test 2 on super.domain.com",2012-11-12,3,
test,super.domain.com,http://super.domain.com/test3,"Test Third on super.domain.com","Description of the Test 3 on super.domain.com",2012-11-12,3,
"not match",super.domain.com,http://super.domain.com/not_match,"Not Match on super.domain.com","Description of the Not Match on super.domain.com",2012-11-12,,
another,super.domain.com,http://super.domain.com/another,"Another on super.domain.com","Description of the Another on super.domain.com",2012-11-12,,
another,super.domain.com,http://super.domain.com/another2,"Another 2 on super.domain.com","Description of the Another 2 on super.domain.com",2012-11-12,,
another,super.domain2.com,http://super.domain.com/another,"Another on super.domain2.com","Description of the Another on super.domain2.com",2012-11-12,,
another,super.domain2.com,http://super.domain.com/another2,"Another 2 on super.domain2.com","Description of the Another 2 on super.domain2.com",2012-11-12,,
"chuck norris",en.wikipedia.org,http://en.wikipedia.org/wiki/Chuck_Norris&rct=j&sa=U&ei=WxesUNeGMcrDswbTyIDIAg&ved=0CBQQFjAA&q=site:en.wikipedia.org+chuck+norris&usg=AFQjCNEu7oWmY7BiRKjeXoLOPLmG72CAPg,"
<b>Chuck Norris</b> - Wikipedia, the free encyclopedia","Carlos Ray ""<b>Chuck</b>"" <b>Norris</b> (born March 10, 1940) is an American martial artist <br>  and actor. After serving in the United States Air Force, he began his rise to fame <br>  as <b>...</b>
",2012-11-20,2,
"chuck norris",en.wikipedia.org,http://en.wikipedia.org/wiki/Chuck_Norris_facts&rct=j&sa=U&ei=WxesUNeGMcrDswbTyIDIAg&ved=0CBwQFjAB&q=site:en.wikipedia.org+chuck+norris&usg=AFQjCNE8YtKutGVGqxv9Z7fUOAcwCWbbaQ,"
<b>Chuck Norris</b> facts - Wikipedia, the free encyclopedia","
<b>Chuck Norris</b> facts are satirical factoids about martial artist and actor <b>Chuck</b> <br><b>Norris</b> that have become an Internet phenomenon and as a result have become <b>...</b>
",2012-11-20,2,
"chuck norris",en.wikipedia.org,http://en.wikipedia.org/wiki/File:Chuck_Norris_award_2.jpg&rct=j&sa=U&ei=WxesUNeGMcrDswbTyIDIAg&ved=0CB8QFjAC&q=site:en.wikipedia.org+chuck+norris&usg=AFQjCNHZC2Sjkj2eZshlgzZxjfjZqef_Yw,"File:<b>Chuck Norris</b> award 2.jpg - Wikipedia, the free encyclopedia","Description: Beverly Hills, California -- Vice Chief of Staff of the Air Force, General <br>  John W. Handy, presents martial artist <b>Chuck Norris</b> with the ""Veteran of the <b>...</b>
",2012-11-20,2,
"chuck norris",en.wikipedia.org,http://en.wikipedia.org/wiki/Chuck_Norris_Superkicks&rct=j&sa=U&ei=WxesUNeGMcrDswbTyIDIAg&ved=0CCIQFjAD&q=site:en.wikipedia.org+chuck+norris&usg=AFQjCNG6edzAoMf0KhPs1IW5tqusAT0J3A,"
<b>Chuck Norris</b> Superkicks - Wikipedia, the free encyclopedia","
<b>Chuck Norris</b> Superkicks, is a 1983 video game produced by Xonox where the <br>  player takes control of <b>Chuck Norris</b> himself. It was also sold as ""Kung Fu <b>...</b>
",2012-11-20,2,
